run_type,mode,schedule,chunk,threads,repeat,metric,value,log_file
parallel,code,dynamic,100,1,2,time,0.000032,../results/logs/dynamic_c100_t1.log
parallel,code,dynamic,100,1,3,time,0.000034,../results/logs/dynamic_c100_t1.log
parallel,code,dynamic,100,2,1,time,0.000188,../results/logs/dynamic_c100_t2.log
parallel,code,dynamic,100,2,2,time,0.000155,../results/logs/dynamic_c100_t2.log
parallel,code,dynamic,100,2,3,time,0.000151,../results/logs/dynamic_c100_t2.log
parallel,code,dynamic,100,4,1,time,0.000234,../results/logs/dynamic_c100_t4.log
parallel,code,dynamic,100,4,2,time,0.000261,../results/logs/dynamic_c100_t4.log
parallel,code,dynamic,100,4,3,time,0.000241,../results/logs/dynamic_c100_t4.log
parallel,code,dynamic,100,8,1,time,0.000606,../results/logs/dynamic_c100_t8.log
parallel,code,dynamic,100,8,2,time,0.000461,../results/logs/dynamic_c100_t8.log
parallel,code,dynamic,100,8,3,time,0.000448,../results/logs/dynamic_c100_t8.log
parallel,code,guided,1,1,1,time,0.000025,../results/logs/guided_c1_t1.log
parallel,code,guided,1,1,2,time,0.000033,../results/logs/guided_c1_t1.log
parallel,code,guided,1,1,3,time,0.000025,../results/logs/guided_c1_t1.log
parallel,code,guided,1,2,1,time,0.000159,../results/logs/guided_c1_t2.log
parallel,code,guided,1,2,2,time,0.000205,../results/logs/guided_c1_t2.log
parallel,code,guided,1,2,3,time,0.000153,../results/logs/guided_c1_t2.log
